Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
BKMS 2001.7632         3.828         0.856         6.146   1.219   1.025   4.384
BKMS 2003.0308         3.884         2.310        11.576   1.421   1.186   5.078
BKMS 2003.7782         3.365        -0.856        -3.537   1.584   1.325   5.687
BKMS 2004.3751         0.474        -3.452        -4.578   1.572   1.331   5.700
BKMS 2005.1116        -1.179         0.349         6.416   1.588   1.319   5.707
BKMS 2005.7166         3.890         0.103        -0.448   1.760   1.450   6.291
BKMS 2006.2259        -0.984        -0.235         6.020   1.501   1.256   5.390
BKMS 2007.6386         2.553        -0.772        -5.007   1.115   0.942   4.004
BKMS 2010.1793        -4.746        -0.739         2.015   1.233   1.031   4.391
BKMS 2010.9760        -2.940         2.779         7.716   1.223   1.021   4.356
BKMS 2013.3443        -1.472        -0.217        -8.469   1.177   0.988   4.257
BKMS 2014.2724        -0.904        -3.066        -6.431   1.219   1.032   4.465
BKMS 2015.5099        -2.984        -1.081         0.682   1.110   0.956   4.072
BKMS 2017.0486        -3.875         1.380         6.583   1.095   0.941   3.936
BKMS 2019.7454         3.177         2.368         3.802   1.464   1.252   5.216
BKR1 2004.4463         6.803        -0.907       -21.035   2.463   2.078   8.932
BKR1 2004.7830        -3.372         1.843         5.591   1.891   1.603   6.875
BKR1 2006.5133        -0.108         7.409        -0.646   1.556   1.304   5.594
BKR1 2007.4581        11.238         0.240       -26.687   1.954   1.637   7.056
BKR1 2007.7782        -2.626        -0.133        -1.758   2.009   1.676   7.236
BKR1 2008.4873         3.594         1.399       -14.723   1.812   1.503   6.489
BKR1 2008.9446        -5.604         5.495         9.346   1.844   1.517   6.545
BKR1 2009.5440         0.664         0.532       -17.523   1.834   1.532   6.529
BKR1 2010.0397        -9.351         2.954        15.747   1.704   1.434   6.096
BKR1 2012.4928         2.079        -4.209       -34.511   1.570   1.274   5.540
BKR1 2013.4209         6.632        -0.043       -22.571   2.847   2.372  10.168
BKR1 2013.5305        -0.275        -1.206       -19.788   3.258   2.708  11.622
BKR1 2013.8015        -4.957         3.101        -6.919   2.369   1.923   8.386
BKR1 2014.4230         1.226        -3.284       -26.808   3.083   2.488  11.041
BKR1 2014.5380        -2.899         1.394       -17.894   3.433   2.792  12.351
BKR1 2014.8048       -10.471         2.555       -14.510   2.441   2.003   8.788
BKR2 2009.4839        -0.174         1.110       -12.428   1.858   1.550   6.574
BKR2 2010.0205        -9.511         1.692        16.962   1.565   1.320   5.569
BKR2 2010.9350        -3.705         0.041        16.546   1.237   1.019   4.336
BKR2 2012.5120         0.474        -5.643       -27.285   1.207   0.987   4.254
BKR2 2013.5330         4.580        -1.915       -34.427   2.111   1.744   7.488
BKR2 2013.8015        -6.316         2.918        -1.678   2.472   2.024   8.752
BKR2 2014.4230        -0.729        -3.928       -24.074   2.910   2.377  10.401
BKR2 2014.5599        -3.004         1.777       -19.932   3.173   2.614  11.376
BKR2 2014.7899       -10.650         1.713        -4.094   2.348   1.947   8.399
BLA1 2009.1400         3.988         1.457         2.508   0.827   0.701   2.846
BLKV 2007.7098         0.695         2.813        -0.596   1.145   1.000   4.120
BLKV 2011.6824        -0.511         2.326        -9.172   0.859   0.747   3.082
BLRW 2000.3758         3.352        -4.961         1.930   1.496   1.190   4.978
BLSA 2004.3806         1.060        -2.083       -17.105   1.707   1.523   6.360
BLSA 2004.9240        -0.228        -1.122        11.258   1.756   1.569   6.541
BLSA 2005.4675         0.452         0.361        -4.310   1.927   1.700   7.119
BLSA 2005.8973        -0.462        -2.266        19.568   1.901   1.680   7.068
BLSA 2006.4805         0.878         0.698       -11.856   1.683   1.499   6.311
BLSA 2007.4798         1.447         3.259       -33.152   1.470   1.313   5.553
BLSA 2008.4873         1.030         1.201       -13.455   1.412   1.228   5.209
BLSA 2010.1847        -1.231        -3.419         6.161   1.573   1.361   5.613
BLSA 2010.9760        -0.201        -1.092        16.144   1.519   1.306   5.435
BLSA 2012.5311         1.188        -0.223        -8.574   1.346   1.139   4.840
BLSA 2013.3771         1.499         1.738       -11.708   1.328   1.110   4.682
BLSA 2014.2998         0.883         1.897       -13.911   1.335   1.120   4.713
BLSA 2016.3450         0.706         0.208        -4.883   1.396   1.200   4.922
BLSA 2017.6673        -0.697        -2.062        23.350   1.354   1.170   4.695
BLSA 2018.3217         1.883         2.616       -14.788   1.362   1.166   4.694
BLSA 2019.5467         6.307         1.004        -0.659   1.547   1.294   5.316
BLUF 2005.0212         7.976         7.747         0.725   1.182   0.864   3.402
BLUF 2006.9268         2.564         4.140         2.012   0.914   0.665   2.626
BLUF 2009.5387        13.088       -44.122         4.678   2.328   1.707   6.768
BLUF 2009.6838         1.313       -10.104         3.293   2.410   1.771   7.024
BLUF 2010.6776         1.723        -4.178        11.882   1.036   0.768   3.051
BLUF 2012.8104         1.061        -3.559         0.838   0.949   0.699   2.790
BLYN 2002.0726       -39.263       -27.338       -28.445   2.254   1.857   8.157
BLYT 1995.0746        -0.451         5.126       -33.527   1.556   1.404   5.767
BLYT 1995.5866         3.050         0.168       -10.854   1.636   1.472   6.017
BLYT 1996.3696        -4.079        -1.017        -3.851   1.152   1.016   4.173
BLYT 1999.8275        -3.387         8.542         2.028   0.760   0.657   2.630
BLYT 2002.0972         0.410         1.086         7.480   1.172   1.031   4.155
BLYT 2002.7515         1.327         3.130         7.446   1.241   1.093   4.454
BLYT 2004.3888        -0.989        -2.704        -5.873   1.498   1.318   5.456
BLYT 2004.8077         0.736        -1.059       -12.513   1.906   1.678   6.910
BLYT 2005.2238        -0.123         0.284         8.427   1.431   1.254   5.130
BLYT 2010.2834       -11.195         1.012         1.144   0.729   0.611   2.444
BLYT 2012.2409        -4.575         0.616         1.507   0.781   0.650   2.620
BMHL 2000.7639         0.795         6.076        -0.655   1.236   1.060   4.252
BMHL 2001.8015         1.006         4.539         4.764   1.135   0.974   3.870
BMHL 2002.7543         1.723         5.809         5.737   1.034   0.884   3.506
BMHL 2004.4463        -0.295        -1.097        -7.370   0.829   0.701   2.785
BMHL 2007.0691         1.463         2.764         1.581   0.755   0.636   2.544
BMHL 2010.2861        -9.795         1.476         2.863   0.768   0.642   2.586
BMHL 2012.2437        -2.465         1.478         2.081   0.841   0.700   2.819
BMHL 2018.9788         2.239         0.062        -2.290   0.913   0.783   3.073
BMRY 1999.7892        22.322         6.554         8.254   1.269   1.100   4.492
BMRY 2001.7769         3.016         1.461         6.864   1.107   0.968   3.980
BMRY 2002.7515         2.894         2.822         5.190   1.202   1.047   4.355
BMRY 2004.8077        -0.565        -2.500       -12.052   1.182   1.018   4.218
BMRY 2009.2238        -2.188        -3.711         1.206   1.134   0.968   3.993
BOGI 2010.0727        -1.453        -1.035        -6.225   1.247   0.911   3.643
BOGI 2012.2382        -0.726         0.398         5.778   0.989   0.722   2.945
BOGI 2015.9316        -0.543         0.308        -4.615   0.990   0.710   2.935
BOGO 1999.8248         0.382         2.215         2.356   1.005   0.692   2.850
BOGO 2001.5447        23.102         1.790         0.736   5.656   3.950  16.324
BOGO 2001.5840       -20.007        -0.652        -4.367   5.622   3.927  16.232
BOGT 1995.3185        -4.020       -34.357        22.197   3.170   3.820  14.854
BOGT 1995.5893        18.182        40.118        -0.553   2.649   3.238  12.541
BOGT 1996.7255       -19.919       -45.760        23.586   5.223   6.476  25.199
BOGT 1996.7805         7.067        45.081        -0.748   5.074   6.292  24.479
BOGT 1999.7647         2.575        -3.267        52.387   5.637   7.905  28.539
BOGT 2002.3897        -4.407        13.908       -45.237   5.608   7.882  28.393
BOGT 2005.4593         7.232        -1.132       -22.543   0.999   1.302   4.804
BOGT 2006.4969         2.644         1.543       -23.888   1.057   1.382   5.041
BOGT 2008.4327         5.017         0.143       -27.228   0.976   1.289   4.682
BOGT 2014.8145         1.430        -3.511        15.836   0.993   1.262   4.702
BOGT 2016.1752        -1.486        -3.911        31.181   0.929   1.153   4.374
BOGT 2018.6995         3.723         0.137        34.063   0.961   1.173   4.601
BOMG 2010.0589        -6.268        -2.826         3.687   2.051   1.725   7.150
BOMG 2010.2587       -21.824         1.047         3.322   2.114   1.778   7.363
BOMG 2010.9185         3.368         2.352         1.492   1.434   1.194   5.027
BOMG 2011.6304        -9.853        -8.820         9.664   1.981   1.625   6.966
BOMG 2011.8741         7.575         2.370        -4.702   2.066   1.689   7.260
BOMG 2012.4025         5.416         4.502        -5.760   1.505   1.227   5.272
BOMG 2013.1444        -8.485        -2.318         1.690   2.680   2.218   9.341
BOMG 2013.2457        -7.828        -6.031         9.108   2.692   2.232   9.397
BOMG 2013.9165        -7.300        -2.524         4.457   1.547   1.275   5.369
BOMG 2014.4285        13.457         6.515       -10.832   1.991   1.641   6.884
BOMG 2014.6831        10.177         4.873        -2.841   1.856   1.540   6.439
BOMG 2017.0431        -5.556        -0.358         5.708   1.484   1.274   5.126
BOMG 2017.5525        -0.449        -5.370         1.752   1.397   1.203   4.829
BOMG 2019.2555         1.158        -3.953         4.469   1.456   1.233   5.076
BOMG 2019.7810       -10.857        -9.314         7.662   1.739   1.475   6.056
BOR1 1999.4634        -0.324         4.665         2.303  10.046   7.037  29.082
BOR1 1999.4743        64.382       152.114        56.526  28.547  19.253  88.039
BOR1 1999.4798         3.966       -56.054       -66.187  49.170  31.724 151.231
BOR1 1999.4825       -66.406       -96.807         5.353  41.275  26.177 126.353
BOR1 2012.2710        -1.234         1.054         1.733   0.723   0.521   2.064
BOR1 2016.8186        -4.491        -0.571         2.647   0.854   0.596   2.429
BOR1 2018.1629        -1.571        -0.954         3.528   0.963   0.670   2.747
BRAN 1995.3814        -3.065         0.270       -13.392   2.076   1.863   8.955
BRAN 1998.4228        -2.430        -1.421        -5.797   1.219   1.118   5.459
BRAN 1999.7207         1.797        -2.730         4.767   1.186   1.081   5.283
BRAN 2002.0972         0.894        -0.152         7.258   1.342   1.191   5.803
BRAN 2002.7543         1.213         3.281         6.904   1.393   1.234   6.001
BRAN 2004.3751         0.274        -4.625        -8.111   1.108   0.971   4.761
BRAN 2011.1268         2.092        -0.722        14.219   2.563   2.265  11.725
BRAN 2011.4716         1.996        -2.133       -18.043   2.549   2.247  11.650
BRAN 2013.7002        -0.264        -2.432         7.878   0.908   0.758   3.704
BRAN 2015.8412         0.108         3.866        -1.522   1.069   0.916   4.382
BRAZ 2007.0664         1.520        -2.763        -5.156   0.725   0.806   3.256
BRAZ 2013.3169         4.204        -9.122         6.536   0.687   0.738   2.965
BRAZ 2014.9213        -6.124        10.881         1.026   0.789   0.851   3.435
BRAZ 2016.9447         1.395        -0.449       -30.316   1.029   1.165   4.532
BRAZ 2017.5936         1.319         0.714        31.393   0.972   1.110   4.250
BREW 2002.6913        -0.237         2.801         7.146   1.221   0.888   3.551
BREW 2004.3669        -0.207        -4.339        -4.027   0.930   0.668   2.689
BREW 2014.4997        -0.995         0.526         3.364   0.921   0.657   2.678
BREW 2015.9781         0.595         0.182        -5.308   0.856   0.617   2.487
BRFT 2006.7269         4.421        -0.471         5.861   1.148   1.291   5.026
BRFT 2007.4825        -8.466         1.342        -6.219   1.186   1.326   5.224
BRFT 2008.2519        -2.859        -0.267        -4.136   1.050   1.143   4.623
BRFT 2011.0508         7.832        -1.531        -1.846   1.886   2.018   8.382
BRFT 2011.2854       -10.411         1.980        -1.769   1.871   2.003   8.353
BRFT 2014.8663         7.029        -0.859         6.083   1.276   1.419   5.953
BRFT 2017.9795       -13.298        -0.016        -3.861   1.191   1.332   5.353
BRIB 1995.5866        -0.542         1.192        11.076   2.108   1.612   8.409
BRIB 1995.9425         3.213        -5.264        -3.389   2.593   2.005  10.676
BRIB 1996.4244        -6.181         5.631         6.983   1.978   1.542   8.537
BRIB 1997.7768        -0.313         1.416        -8.892   1.240   0.944   5.351
BRIB 2000.0411         2.820        -0.378       -15.687   2.754   2.163  12.674
BRIB 2000.2586        15.195        17.644       917.269   2.737   2.143  12.534
BRIB 2002.7515         0.732         5.221         7.745   1.084   0.790   4.108
BRIB 2004.3751         1.767        -3.768       -10.814   1.160   0.839   4.387
BRIB 2012.4600        -3.614        -4.548         6.096   1.229   0.895   4.974
BRIB 2015.4990        -5.115        -3.366        -1.938   1.148   0.844   4.546
BRIB 2016.9801        -0.380        -0.446        -8.121   1.302   0.997   5.206
BRIB 2018.3107        -5.267        -2.530         3.141   1.480   1.140   5.750
BRIG 2004.4189         0.163        -2.534        -7.005   0.964   0.754   3.195
BRIG 2008.2875         1.758        -6.168         6.237   0.997   0.795   3.308
BRIG 2018.9516        -0.742         3.104       -21.906   1.394   1.112   4.594
BRMU 2009.2826        -6.400        -7.391         4.808   0.933   0.869   3.613
BRMU 2010.2806         5.242         6.235        -4.906   1.041   0.966   3.952
BRMU 2011.7366         4.640        -1.439        -2.062   0.706   0.651   2.549
BRN2 2012.3860        -5.498         2.642        -2.965   1.162   1.178   4.783
BRN2 2015.3895        -0.846         2.694        -1.122   1.217   1.234   4.821
BRPK 2002.7515         1.689         3.164         6.270   0.907   0.781   3.231
BRPK 2004.3751        -0.624        -2.862        -5.002   1.218   1.053   4.318
BRPK 2005.0103        -0.416        -0.894        -5.607   1.160   1.001   4.104
BRPK 2012.7529         1.956         1.219         3.858   0.841   0.696   2.912
BRST 2005.2047         7.608        -8.333         5.808   3.296   2.450  10.125
BRST 2005.4045        -5.063         5.707        -1.051   3.616   2.695  11.174
BRST 2006.5681        -6.640         3.650       -15.356   1.952   1.455   6.036
BRST 2007.2882        -0.541         3.312         6.048   1.374   1.000   4.043
BRST 2008.4574         5.396        -4.261        10.927   0.985   0.724   2.888
BRST 2011.8195        -6.992         5.284        -6.570   0.839   0.620   2.444
BRU1 2001.3060         1.299         0.372         7.190   1.348   1.026   4.363
BRU1 2002.4340        -0.037        -2.614         4.207   2.233   1.851   6.717
BRU1 2003.5619        -2.400         0.093        -5.850   2.131   1.782   6.370
BRU1 2007.8549         9.280        59.282        59.771   4.183   3.266  13.401
BRUS 1996.2272        -0.025        -2.283         3.876   1.099   0.794   3.409
BRUS 1998.7187        -1.423         1.507        -1.871   1.236   0.867   3.788
BRUS 2000.2738        -0.745         0.336        10.066   1.175   0.834   3.628
BRUS 2004.0383         0.208        -3.679        -0.184   1.023   0.765   3.229
BRUS 2011.5565        -3.672         4.929         1.287   1.436   1.081   4.519
BRUX 2018.4203        -0.419        -1.747         2.976   1.106   0.791   3.073
BSHM 2000.4627        -3.622        -7.588        30.696   1.325   1.190   5.529
BSHM 2002.0753         3.890         4.633       -43.982   1.075   0.942   4.394
BSHM 2009.9413         3.682         5.094        -5.066   0.754   0.670   2.838
BSMK 2002.6037         1.159         2.528       -13.401   1.834   1.379   5.578
BSMK 2006.5323        -1.116        -1.848        10.459   0.888   0.647   2.613
BSMK 2009.5536        -7.923         3.926        16.639   0.932   0.681   2.755
BSMK 2011.8604         0.487         0.120         6.205   1.000   0.736   3.007
BSRY 1999.7892        16.329       -39.524       -11.384   1.373   1.169   4.684
BSRY 2000.3422         1.000        -3.565        -0.417   1.377   1.172   4.734
BSRY 2001.2840         1.047        -2.372         2.892   1.144   0.968   3.918
BSRY 2002.4148        -9.793         2.128         9.973   3.284   2.816  11.503
BSRY 2002.4832        -8.598        -2.291        -6.778   3.608   3.091  12.736
BSRY 2002.7461        11.412         4.897        -0.529   2.323   1.990   8.222
BSRY 2003.0307         6.553        -3.947         4.683   1.735   1.493   5.995
BSRY 2004.3751        -0.608        -3.665        -4.318   1.400   1.179   4.735
BSRY 2004.8159         1.323        -2.127        -7.274   1.418   1.189   4.771
BSRY 2005.9740         1.266        -2.147         3.305   0.894   0.740   2.982
BSRY 2010.2861        -3.776        -1.045         0.122   0.759   0.623   2.535
BSRY 2012.2957        -1.154         1.184         4.575   0.826   0.675   2.751
BSRY 2019.5072        11.331         3.667         1.657   1.073   0.901   3.564
BTDM 2002.7543         2.458         2.314         6.113   1.151   1.053   4.118
BTDM 2004.3751        -0.153        -2.802        -8.178   1.577   1.489   5.703
BTDM 2004.9528         1.868        -3.209        -8.107   1.474   1.406   5.364
BTDM 2010.1875         1.190        -3.804        -7.712   1.121   1.073   4.069
BTDM 2017.0322         0.501        -0.298        -7.727   1.038   1.008   3.891
BTDM 2019.5072         8.831         0.525        -4.963   1.441   1.392   5.564
BUCU 1999.7016        -2.087         4.636        -1.555   1.441   1.112   4.335
BUCU 2002.6968         0.517        -0.079        -6.824   0.787   0.602   2.372
BUCU 2007.3374        -0.059         0.140         8.467   0.864   0.678   2.640
BUCU 2014.8830        -0.962         0.300        -7.244   0.838   0.654   2.534
BUCU 2016.7611         0.867        -0.116        -4.350   0.779   0.601   2.353
BUDP 2004.3888         1.558         1.376        -1.691   0.940   0.663   2.669
BUDP 2014.9432         1.169         0.071        -3.639   0.771   0.559   2.175
BUE1 1999.5510        -4.999        -1.731         6.064   1.835   1.619   6.337
BUE1 2000.1259        19.314        -3.941         3.446   2.637   2.258   8.921
BUE1 2000.2601        -6.487        -8.366        -6.951   2.458   2.101   8.327
BUE1 2007.9754         3.337         3.719         6.106   0.855   0.745   3.048
BUE1 2010.1602        -3.197       -24.446        -4.454   1.258   1.070   4.476
BUE2 2006.3272        -4.073        -2.261        -4.012   1.452   1.256   5.161
BUE2 2010.1574        -6.446       -26.489        -7.165   1.478   1.264   5.258
BULL 1999.8275        -3.547         0.684         5.228   1.372   1.154   4.779
BULL 2002.7132         1.223         3.400         8.121   0.946   0.802   3.355
BULL 2004.3778         0.145        -3.114        -5.385   1.502   1.279   5.306
BULL 2004.8241        -0.053        -1.075        -5.092   1.496   1.268   5.266
BUMS 2019.1430        -0.265         3.855         6.878   1.255   1.176   8.680
BURN 1999.6769         0.805        -0.235         7.988   1.113   0.869   3.626
BURN 2002.7187         0.793         4.538         8.512   1.197   0.935   4.168
BURN 2004.0110         2.056        -3.136        -8.054   1.156   0.896   3.957
BURN 2018.8759        -1.075        -3.490       -10.035   1.467   1.122   4.525
BURN 2019.2799        -0.809        -1.476         8.320   1.645   1.257   5.056
BUST 2000.1396        -4.093        -0.747         2.514   1.181   1.004   4.305
BUST 2002.7132         0.470         2.820         7.458   1.048   0.881   3.871
BUST 2004.3751        -0.397        -2.985        -5.091   1.568   1.319   5.752
BUST 2004.8214        -0.446        -1.074        -6.512   1.584   1.329   5.790
BVPP 2002.7132         0.873         3.403         5.692   1.234   1.039   4.233
BVPP 2004.3806        -0.825        -2.324        -5.513   1.302   1.089   4.409
BVPP 2005.0022        -1.388        -1.519        -6.500   1.260   1.052   4.255
BVPP 2007.9918         0.830         2.569         1.651   0.915   0.751   3.060
BVPP 2010.1684        -2.158        -1.458        -2.712   0.949   0.774   3.176
BVPP 2013.8289         0.099         1.236         8.239   0.991   0.801   3.319
BVPP 2017.0322        -0.261        -2.113        -4.876   0.917   0.757   3.052
BVPP 2019.5099         1.803        -6.626        -6.189   1.128   0.928   3.759
BZRG 2000.9146        -0.215        -1.841       -15.008   1.626   1.204   5.190
BZRG 2001.5387       -31.756         1.788        24.728   4.190   3.159  16.861
BZRG 2001.6646        10.069         0.568       -16.357   5.068   3.892  20.730
BZRG 2001.8070        19.813         2.676       -10.685   3.616   2.841  14.086
BZRG 2002.1793       -15.499         1.054        14.442   3.829   3.090  15.183
BZRG 2002.3053       -12.959        -5.806        21.195   5.358   4.396  22.853
BZRG 2002.4093        28.247         0.283       -24.639   5.331   4.240  21.019
BZRG 2002.5188         1.334        -2.491        -8.948   3.413   2.564  10.909
BZRG 2007.9480         6.558        -6.301         6.917   0.863   0.650   2.654
BZRG 2012.2929        -3.108         9.066        -6.562   1.047   0.794   3.227
CA99 2001.0813         5.333        -2.010        -8.664   1.389   1.139   4.808
CA99 2002.6858        -5.220         2.147        17.710   1.170   0.957   3.980
CA99 2003.9754         3.637        -2.825        -4.690   1.973   1.663   7.388
CA99 2004.4408         3.361        -3.474       -15.696   2.673   2.311  10.637
CA99 2005.0157         3.141        -3.894       -10.719   4.256   3.977  19.354
CA99 2005.3142         6.381        -2.489        -8.478   3.882   3.656  17.846
CA99 2006.7625         7.548        -3.015        -5.351   1.268   1.035   4.341
CA99 2009.8701         4.441        -4.018        -7.025   1.932   1.584   6.627
CA99 2010.1519         2.577        -4.129       -12.206   1.878   1.537   6.443
CA99 2012.6461        -5.940        -2.018        12.699   0.986   0.784   3.267
CA99 2013.9659        -9.871         0.749        19.655   1.072   0.858   3.565
CABA 2011.6660         7.129         4.444        -5.429   1.126   1.300   4.781
CABA 2012.6817      -322.930      -215.066      -117.359   3.379   3.940  14.194
CABA 2012.7228       -26.658       -18.075         9.515   3.972   4.615  16.638
CABA 2012.8131       -33.237       -21.906         4.571   2.905   3.334  12.111
CABA 2012.9446       -19.463        -7.460         5.152   2.340   2.702   9.840
CABA 2013.2486       -21.360       -13.550         4.675   1.904   2.227   8.111
CABA 2013.5962       -13.859        -6.416         1.969   1.621   1.881   6.884
CABA 2014.1793       -12.955        -9.739        11.571   1.263   1.474   5.369
CABA 2015.1925        -6.299        -1.680         5.534   1.546   1.830   6.698
CABA 2015.5346        -4.081        -4.622         0.770   1.563   1.828   6.776
CABA 2018.7817         1.258         4.395       -16.111   2.328   2.496  10.835
CABA 2018.9213         3.028        -2.363        24.601   2.396   2.582  11.095
CABL 2002.7132         0.790         4.983        10.277   1.078   0.817   3.505
CABL 2004.3751         0.216        -3.426        -5.515   1.292   0.985   4.261
CABL 2005.3881        -3.878        -1.164        -2.038   1.233   0.940   4.020
CABL 2007.2717        -0.136        -0.610        -4.727   0.956   0.722   3.002
CABL 2009.4675        -1.530        -0.797        -2.626   0.929   0.696   2.869
CABL 2014.1875        -4.319        -2.502        -0.522   0.941   0.703   2.932
CABL 2016.4189         2.599        -3.608        -3.371   0.932   0.705   2.873
CACT 2002.7515         2.168         3.851         6.448   0.941   0.806   3.271
CACT 2004.3806        -0.165        -2.621        -4.710   1.223   1.057   4.243
CACT 2004.9610        -0.339        -1.323        -3.719   1.161   1.002   4.017
CACT 2010.2779       -16.607         1.251         2.228   0.852   0.714   2.899
CACT 2012.2382        -3.566         1.091         3.296   1.324   1.089   4.526
CACT 2012.8350         1.150         3.122        -1.276   1.280   1.052   4.381
CAGL 2001.7112         1.330         2.186         1.525   0.828   0.683   2.795
CAGS 2011.5273        11.026         2.033        -1.155   1.049   0.830   3.570
CAGS 2012.6418        -8.511        -2.683        -8.550   0.997   0.785   3.356
CAME 2001.0513         5.276        -0.934         8.108   1.708   1.349   6.061
CAND 2002.7515         3.648         4.475         4.542   1.032   0.857   3.614
CAND 2003.9754        -8.020        -8.353        -6.346   2.189   1.849   7.443
CAND 2004.1314        -2.570        -4.014         1.724   2.299   1.935   7.772
CAND 2004.7447       -42.150        25.521        -8.736  11.711  10.118  40.563
CAND 2004.7502       -15.155        12.334         4.258  12.058  10.410  41.735
CAND 2004.8186       -12.113         9.835        -4.532   3.612   3.079  12.345
CAND 2004.9911        -9.269         4.821        -1.044   2.401   2.037   8.149
CAND 2005.2758        -5.559         4.165        -0.571   2.223   1.792   7.361
CAND 2005.5359        -4.713         5.354        -0.158   1.857   1.476   6.121
CAND 2006.4531        -5.421         4.381        -0.921   1.214   0.999   4.085
CAND 2007.4606        -3.054         3.741        -5.557   1.090   0.917   3.834
CAND 2009.3799        -4.357        -0.140        -5.134   1.027   0.856   3.690
CAND 2016.1697        -0.309        -1.969        -5.722   0.863   0.708   2.860
CAND 2018.9788         1.400        -3.237        -7.331   0.915   0.763   3.002
CANT 2003.6715         3.074        -2.938         1.322   0.990   0.757   3.050
CANT 2007.0965        -2.342        -2.438         4.834   1.045   0.793   3.124
CANT 2011.8030         4.600         6.924       -17.713   0.966   0.738   2.910
CANT 2014.7132         1.395        -0.511        -5.826   0.913   0.695   2.723
CANT 2018.5982        -1.136        -0.355         7.626   0.932   0.705   2.755
CAPF 2014.0233         0.227         3.556         1.970   1.254   0.893   4.184
CARH 2002.7515         1.118         3.242         4.846   1.142   0.968   4.077
CARH 2003.9754        -7.402       -12.079        -3.815   1.549   1.327   5.495
CARH 2004.3669        -1.801        -4.946        -4.156   1.837   1.581   6.533
CARH 2004.8159        20.369       -13.941         1.839   2.544   2.250   9.154
CARH 2004.9500         8.565       -12.522         0.404   2.974   2.634  10.636
CARH 2005.1088         5.645        -5.856         0.616   2.656   2.275   9.267
CARH 2005.3333         5.716        -4.709         2.981   2.259   1.867   7.751
CARH 2005.6947         6.257        -2.189         2.158   2.237   1.862   7.727
CARH 2005.9384         2.071        -5.266        -0.400   1.962   1.647   6.817
CARH 2006.7515         4.893        -1.820        -1.200   1.482   1.290   5.273
CARH 2007.2334         2.621        -3.679        -1.317   1.351   1.184   4.838
CARH 2008.7255         2.701        -2.327         0.419   1.020   0.860   3.630
CARH 2010.1875        -3.029        -0.336         3.702   1.017   0.854   3.643
CARH 2011.8549         1.734         1.957         3.822   1.085   0.908   3.919
CARH 2016.5010        -1.805        -1.528        -1.392   1.197   1.025   4.283
CARH 2017.2895        -1.751         1.790         4.587   1.128   0.971   4.029
CARR 1999.5318        -0.587        -4.994        -6.458   1.296   1.171   4.986
CAS1 1995.3128         2.117        -1.181        -6.745   1.680   1.142   5.083
CAS1 1997.1636        -2.369        -0.234        13.682   3.297   2.189  10.444
CAS1 1997.3169         3.550         1.583        19.835   4.157   2.763  13.181
CAS1 1997.5250       -10.339        10.177         1.913   4.111   2.754  13.054
CAS1 1997.6783         5.522       -13.780        20.623   4.670   3.161  15.148
CAS1 1997.8042        17.675         8.329        34.921   7.749   5.086  27.687
CAS1 1997.8398       -19.030        -6.563       -45.162  13.241   8.995  47.077
CAS1 1997.8535         5.732         1.933       -50.648  11.386   7.855  40.055
CAS1 1998.9541        -0.240         4.394         3.604   1.594   1.098   5.131
CAS1 2003.3155         0.569         1.056       -11.300   0.932   0.681   3.095
CAS1 2010.0039         3.240        -2.728        -8.935   0.874   0.645   2.861
CAS1 2013.8864         4.279         0.849        -3.895   0.861   0.641   2.829
CASA 1993.1527       -28.838        -9.842       206.809  10.299   8.849  39.758
CASA 1993.1827       -18.756        46.616       167.475  15.677  14.583  68.256
CASA 1993.1992        24.894       -21.889      -157.340  22.337  20.032 100.092
CASA 1993.2495        -8.262       -13.055      -134.014  19.801  17.030  85.443
CASA 1993.2676        21.093       -11.295      -150.367   7.364   6.061  25.134
CASA 1993.9055        -6.677         0.839        11.229   1.739   1.467   5.987
CASA 1995.8166        -1.936         2.696        13.007   1.475   1.281   5.575
CASA 1997.8672       -23.427         8.354        35.658   2.791   2.494  10.600
CASA 1998.0479       -15.444        10.779        22.712   2.797   2.506  10.636
CASA 1999.8932         5.578        -0.393       -15.125   1.624   1.417   6.187
CASA 2000.8652         9.520        -1.613       -15.096   1.625   1.396   6.133
CASA 2004.3532         7.213        -4.682       -18.735   1.588   1.367   5.827
CASA 2005.0705         8.454        -4.842       -20.786   1.812   1.550   6.551
CASC 2000.3121        -2.222        -3.998        -0.983   0.976   0.773   3.430
CASC 2008.1533        -0.233         2.414         7.454   0.705   0.569   2.240
CASC 2019.7319        -5.051        -5.985       121.592   3.313   2.704  11.266
CASC 2019.8795         0.719         7.031       -69.694   3.651   2.997  12.393
CASE 2019.5072         4.444        -0.790        -0.240   1.229   1.086   4.384
CASP 2002.9653         2.748         4.524        -2.675   2.094   1.759   5.863
CASP 2004.3942        -0.503        -1.808       -12.513   2.256   1.877   6.282
CASP 2008.3147        -4.271         0.025       -25.765   1.305   0.995   4.033
CAST 2001.8015         0.390         0.848         5.198   1.060   0.887   3.750
CAST 2002.7652         1.536         2.725         6.008   1.156   0.969   4.039
CAST 2004.3888         0.274        -2.088        -4.422   1.539   1.270   5.300
CAST 2004.8241         1.176        -0.272        -4.387   1.435   1.178   4.906
CAST 2019.0226         0.642         2.054        -5.900   0.848   0.680   2.668
CAT1 1999.7399         1.929         1.456         4.746   1.091   0.967   4.081
