Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
AB37 2006.7789         3.091        -7.154        -0.917   1.329   0.927   3.996
AB37 2007.6194         4.029        -5.171         3.832   1.227   0.854   3.672
AB37 2008.7830         2.496        -3.720        -2.295   1.220   0.848   3.629
AB37 2009.6372         0.695        -4.164         6.101   1.175   0.815   3.514
AB37 2015.6879        -0.876         3.293         2.490   1.047   0.719   3.133
AB37 2017.2320        -1.415         2.925         2.443   1.145   0.781   3.479
AB37 2018.0671        -4.987         0.075        -1.893   1.474   1.009   4.489
AB37 2018.5818        -1.316         4.530         4.043   1.359   0.934   4.128
AB39 2010.0780        -3.196         0.684         0.441   1.012   0.715   3.285
AB41 2016.9829        -4.706        -0.878        -0.248   0.916   0.638   2.903
AB42 2008.0506         4.103         4.494       -10.331   3.030   1.983   9.343
AB42 2008.9500         6.374         1.849       -11.158   1.748   1.143   5.365
AB42 2010.9541         4.390         3.838        -5.755   1.219   0.837   3.530
AB42 2012.0356         4.527         3.998       -18.467   1.172   0.809   3.310
AB42 2015.9425         1.744         3.630        -1.088   1.217   0.832   3.437
AB43 2009.0568         2.063         0.915        -3.553   1.609   1.058   4.464
AB43 2009.5441        -2.147        -1.457         7.334   1.733   1.141   4.852
AB43 2013.4894        -4.251        -2.283         6.465   1.478   0.979   4.248
AB43 2014.5407        -3.345         3.980         7.965   1.369   0.903   3.968
AB43 2016.5257        -2.044        -0.419         9.850   1.335   0.894   3.941
AB43 2017.5934        -2.400         0.662        10.163   1.349   0.911   3.933
AB43 2018.5818        -1.717        -1.443        10.186   1.298   0.879   3.677
AB43 2019.5838        -1.260        -0.794         6.429   1.519   1.022   4.251
AB44 2008.1451        -0.547         0.680        -8.778   1.844   1.346   5.431
AB44 2011.9945        -2.102        -0.235       -11.170   1.733   1.281   5.229
AB44 2013.1170        -3.837         0.284        -4.644   2.519   1.861   7.487
AB44 2013.4702        -0.785         0.614         9.643   2.439   1.799   7.232
AB44 2015.5263         0.441         0.993         4.530   1.665   1.233   4.988
AB44 2018.5079         1.237        -1.185         7.717   1.768   1.374   5.534
AB44 2019.5811         1.291         0.060         6.573   2.241   1.775   7.082
AB46 2010.8720        -0.528         0.090       -24.086   1.745   1.276   6.063
AB46 2011.1732        -3.515         1.270        19.354   1.691   1.237   5.881
AB48 2007.9918         4.647         2.780        -8.149   1.673   1.051   5.010
AB48 2011.8056         3.226         0.487        -5.558   1.512   0.967   4.459
AB48 2013.0128      -135.545       -51.627        25.372   2.447   1.545   7.025
AB48 2013.2594       -11.346        -2.789         7.459   2.954   1.862   8.510
AB48 2013.5852       -10.465        -2.871         4.422   2.229   1.408   6.508
AB48 2014.4613       -10.014        -2.575         3.362   1.592   1.016   4.711
AB48 2015.4552        -7.750        -1.948         0.590   1.536   0.982   4.596
AB48 2016.5613        -5.672        -1.586         2.610   1.607   1.040   4.831
AB48 2017.4100        -4.821        -0.890         0.781   1.567   1.028   4.722
AB48 2018.5791        -3.988        -0.641         1.060   1.381   0.905   4.139
AB49 2007.5400         1.206        -2.742         3.904   1.219   0.874   3.541
AB49 2009.4512        -2.408        -7.935         7.080   1.422   1.003   4.120
AB49 2012.3888        -1.564        -4.660         4.068   1.490   1.067   4.474
AB49 2013.0157       -18.711        41.924       -14.883   1.976   1.398   5.870
AB49 2013.4018        -7.510        -1.249        11.237   2.302   1.628   7.145
AB49 2013.8152         1.823         6.583       -11.166   2.176   1.529   6.929
AB49 2014.3628        -6.301        -4.519        12.938   2.271   1.596   7.662
AB49 2014.8063         2.794         5.776       -12.907   2.323   1.645   8.128
AB49 2015.3456        -3.935        -4.129        11.868   3.127   2.203  11.424
AB49 2015.5318         5.557        12.524       -25.212   2.829   1.992  10.394
AB49 2017.7029        -1.666         3.709         3.917   1.236   0.878   3.592
AB50 2006.8693         0.383         1.363       -13.469   1.562   1.118   5.450
AB50 2007.5455         2.773         0.388         4.760   1.933   1.382   6.754
AB50 2008.0356         0.774         1.892        -8.875   1.843   1.311   6.434
AB50 2008.9062         1.827         0.665       -13.464   1.739   1.231   6.033
AB50 2009.5168         1.055        -0.739         7.568   1.754   1.252   6.138
AB50 2010.9322         2.417         1.768        -6.792   1.459   1.058   5.121
AB50 2011.9726         1.792         0.684       -15.321   1.362   0.992   4.734
AB50 2013.0130        -9.283        -0.595        -4.763   1.753   1.262   6.026
AB50 2013.4784        -2.351        -0.228         5.125   1.729   1.239   5.936
AB50 2018.6338         0.896        -1.290         7.731   1.306   0.930   4.563
AB51 2007.0062         3.620         2.429       -13.508   1.209   0.825   3.449
AB51 2008.0630         3.032         2.397        -8.487   1.317   0.896   3.723
AB51 2008.9391         3.416         1.852       -11.000   1.551   1.045   4.386
AB51 2009.5113        -0.219        -0.657         1.550   1.597   1.086   4.614
AB51 2010.9569         2.762         2.725        -7.665   1.376   0.947   4.034
AB51 2011.8741         3.225         2.421       -13.365   1.211   0.827   3.506
AB51 2013.0157       -19.667        -6.351        -0.471   1.502   1.018   4.293
AB51 2013.4976        -4.512        -1.337         2.072   1.445   0.977   4.113
AB51 2015.1869        -2.000        -0.170        -4.656   1.147   0.779   3.300
AB53 2011.8549        35.404        -5.929        46.821   2.361   1.613   6.710
AB53 2012.2763       -34.182         7.408       -57.436   1.982   1.339   5.640
AB53 2012.8679         3.216        -8.064        13.262   1.899   1.279   5.346
AB53 2013.2977       -27.509         2.005       -10.225   1.629   1.092   4.591
AB53 2019.9179         9.064        -3.386         9.084   2.489   1.721   6.988
AB53 2020.0657        22.569       -15.165        23.241   3.834   2.632  10.774
ABEB 2010.5556        -5.542        -0.726         0.702   1.319   0.906   4.006
ABEB 2013.8208        -0.155        12.533        52.024   2.172   1.551   6.611
ABGS 2005.2402       -12.631       -52.714       -19.358   4.694   5.760  20.155
ABGS 2005.3413        -6.676       -10.367        -4.148   5.047   6.150  21.486
ABGS 2005.5304        -3.577        -7.570        -3.666   2.427   2.834   9.909
ABGS 2007.6988       -24.956        -3.886        -3.974   1.309   1.578   5.430
ABGS 2009.7467       -18.844        13.809        -5.548   1.422   1.713   5.992
ABGS 2012.2793        11.590        17.950        -1.686   1.153   1.416   5.016
ABGS 2013.0022         1.329         4.461         0.426   1.128   1.392   4.964
ABMF 2010.3162        -1.528        -1.003       -10.314   1.477   1.669   6.614
ABMF 2012.0630        -0.958         1.903        11.310   0.910   1.032   4.123
ABMF 2014.9404         0.826        -0.638         8.045   0.993   1.118   4.286
ABPO 2008.1150        -3.219         2.952        -1.993   1.738   1.841   7.596
ABPO 2008.8542        -2.635        -2.567         2.719   0.993   1.031   4.267
ABPO 2010.7576         1.297        -0.784         3.712   0.923   0.978   3.969
ABPO 2018.3876        13.720        -0.356         2.868   1.063   1.154   4.590
AC02 2007.9945         5.553         0.155        -6.569   1.219   0.860   3.521
AC02 2009.4593        -2.601        -1.546        -0.213   1.132   0.801   3.280
AC02 2010.9596         3.742        -0.024        -4.895   1.231   0.876   3.547
AC02 2014.7707        -3.577         1.314         4.041   1.367   0.964   3.933
AC02 2015.6222        -2.986         3.897         2.899   1.452   1.008   4.182
AC02 2016.3395         3.217         4.059         2.527   1.386   0.953   4.011
AC02 2017.7029        -1.498         3.038         4.636   1.688   1.167   4.928
AC02 2018.0643        11.233       -24.358        -1.050   1.684   1.165   4.910
AC02 2019.0719         5.607         0.410         2.226   1.253   0.870   3.657
AC03 2009.5113        -3.505        -0.640         3.900   1.480   1.006   4.346
AC03 2010.1602        -6.679         5.336        -5.479   1.717   1.162   5.008
AC03 2010.7269        -3.822         5.404        -3.053   1.782   1.215   5.166
AC03 2011.2416        -4.545         4.981        -4.093   1.658   1.140   4.812
AC03 2011.9781        -1.691         2.584        -5.269   1.446   0.990   4.200
AC03 2013.8344         0.614        -2.180         1.416   1.497   1.022   4.397
AC03 2016.0657         0.260        11.476         5.921   1.673   1.116   4.977
AC03 2016.5886        -7.346         4.788        -4.681   1.825   1.218   5.506
AC03 2017.1827        -3.624         6.048        -0.827   1.743   1.167   5.373
AC03 2017.9192        -2.415        -1.127        -6.854   2.282   1.494   7.400
AC03 2018.4339         0.992         4.217        -2.332   2.118   1.390   6.858
AC06 2007.0171         4.717         3.427        -4.875   1.287   0.902   3.722
AC06 2010.7844        -2.240         4.258         3.737   1.194   0.840   3.430
AC06 2012.1999         0.184         4.352        -4.803   1.336   0.945   3.792
AC06 2012.7529         5.501        -0.915        -2.193   1.389   0.981   3.944
AC06 2013.7851         6.310        -1.608         2.638   1.149   0.810   3.279
AC06 2015.0664         4.854        -1.092        -0.570   1.157   0.808   3.309
AC06 2016.0630         1.574        10.301         2.380   1.344   0.928   3.890
AC06 2016.6927        -6.139         1.915         9.302   1.272   0.879   3.702
AC06 2019.5455         4.637        -1.269         1.819   1.281   0.898   3.721
AC07 2018.7023         6.756        -0.753         3.354   0.920   0.654   3.034
AC08 2018.0616         9.494       -11.481         1.210   0.851   0.590   2.524
AC09 2007.9206         3.080         0.290        -6.100   1.871   1.311   5.274
AC09 2011.6468       -11.702         2.198        -0.744   1.706   1.200   4.879
AC09 2011.9918         1.697        -0.607        -5.652   1.724   1.213   4.928
AC09 2012.7830         7.106        -7.020        -8.398   1.311   0.917   3.713
AC09 2013.6235         3.635        -3.553         2.864   1.566   1.099   4.496
AC09 2014.0698         7.930        -9.934        -4.319   1.682   1.175   4.806
AC09 2014.7023         7.482        -7.806        -2.762   1.750   1.224   4.970
AC09 2015.0992         4.491        -3.582         0.300   1.645   1.151   4.692
AC09 2016.1834       -13.695         2.508        -2.290   2.518   1.719   7.201
AC09 2016.3174       -21.752         3.252        -7.824   5.436   3.723  15.637
AC09 2016.3477       -18.547         6.995        -2.792   5.234   3.593  15.074
AC09 2016.5722        -7.923         0.068         1.549   1.932   1.337   5.572
AC09 2018.0643       -15.316       -13.202         2.276   1.104   0.770   3.180
AC09 2019.5428        -0.503        -3.661         4.326   1.320   0.923   3.794
AC10 2011.5756        -1.738        -3.254         2.515   1.026   0.734   2.969
AC11 2006.5599        -1.451        -3.276         2.717   1.477   1.038   4.359
AC11 2007.5866         0.377        -0.782         5.289   1.666   1.168   4.895
AC11 2009.5441        -4.657        -0.897        12.929   1.682   1.176   4.955
AC11 2010.6749        -1.350         2.388         9.658   1.567   1.102   4.604
AC11 2011.3018        -2.746         3.877         3.828   1.820   1.287   5.301
AC11 2011.6304        -2.084         1.654         2.392   1.995   1.410   5.821
AC11 2012.1889        -1.966         2.680         3.575   1.704   1.204   4.952
AC11 2012.6160        -0.546         3.330         3.493   1.875   1.323   5.478
AC11 2013.1335        -5.124         0.895        -0.841   1.711   1.202   4.979
AC11 2013.5989        -1.700         2.870        14.369   1.698   1.188   4.938
AC11 2014.6858        -0.700         2.089         6.526   1.483   1.041   4.352
AC11 2015.5866         0.271         1.409         5.300   1.497   1.044   4.399
AC11 2016.6790         2.138        -1.201         4.734   1.448   1.005   4.284
AC11 2017.6016        -0.472        -4.452         4.176   1.651   1.148   4.907
AC11 2018.0616        -2.677        -1.384        -4.025   1.614   1.122   4.797
AC11 2018.6886         0.877         2.109         6.827   2.043   1.436   6.027
AC11 2018.9514         3.244         8.849        -2.863   1.907   1.342   5.620
AC11 2019.5838         2.579        -0.626         1.452   1.692   1.185   4.995
AC12 2011.3429        -1.323         4.813         4.157   1.119   0.805   3.154
AC12 2017.5416         9.095        -4.240         0.042   1.196   0.844   3.394
AC13 2015.4499        -2.874         2.918        -1.355   1.142   0.797   3.263
AC13 2018.1165         6.269        -7.137         1.585   0.975   0.677   2.808
AC14 2011.0034        -7.010       -21.667        14.021   4.126   2.771  12.550
AC14 2011.0637       -17.528        16.826        16.991   4.594   3.097  13.954
AC14 2011.2909        24.612         7.756       -35.946   2.503   1.706   7.449
AC14 2012.9966       -22.898       -23.125        25.284   3.064   2.030   8.861
AC14 2013.1389       -25.134        -0.789         4.353   5.419   3.510  16.510
AC14 2013.2156         7.018        23.803         5.091   5.516   3.581  17.007
AC14 2013.3525        39.422         0.743       -35.491   3.196   2.117   9.632
AC14 2018.0862        -8.553        -2.601        -0.186   1.526   1.031   4.509
AC14 2018.5763        -5.552         5.663         5.202   1.529   1.036   4.526
AC15 2006.7652         3.319        -2.054        -2.880   1.625   1.041   5.075
AC15 2008.0575         1.794         2.331        -5.718   1.650   1.052   5.090
AC15 2009.0404        -0.952         4.547         4.227   1.963   1.266   6.110
AC15 2009.5414        -3.930        -0.191         3.210   1.902   1.229   5.953
AC15 2011.0910        -5.432         1.521         1.560   1.633   1.051   5.055
AC15 2012.0055        -2.598        -0.752        -4.992   1.638   1.050   5.042
AC15 2013.4757         1.612        -3.062         2.109   1.733   1.111   5.341
AC15 2015.9836         2.220         4.246        -2.470   1.846   1.175   5.716
AC15 2016.7447        -0.939         4.299         7.370   1.737   1.102   5.402
AC15 2018.0698        -6.770        -1.615         0.427   1.616   1.032   5.043
AC15 2019.5236        -1.601         0.380         5.268   1.835   1.175   5.711
AC16 2012.1150         4.541        46.845       187.405   2.923   2.070  10.282
AC16 2012.3285        -1.740       -45.592      -184.060   2.935   2.074  10.316
AC17 2008.1424        -0.469         4.579        -8.730   1.109   0.786   3.212
AC17 2009.2430        -8.056        -3.237        -2.604   1.802   1.271   5.136
AC17 2009.5305        -5.379         1.446         1.928   1.754   1.233   4.989
AC17 2011.1567        -4.439         3.103        -4.050   1.153   0.820   3.313
AC17 2012.2081        -0.840         1.386        -5.333   1.170   0.833   3.358
AC17 2016.1424        -0.529         0.742        -5.506   1.414   0.980   4.123
AC17 2016.6105        -5.587         3.351         1.980   1.378   0.954   4.021
AC18 2012.1999         2.366         1.649        -4.848   1.345   0.930   3.951
AC18 2013.9904         3.907         0.128        -1.157   1.164   0.803   3.402
AC18 2015.1047         3.480         0.207        -2.623   1.254   0.856   3.668
AC18 2016.0657        -1.799         3.889         0.643   1.186   0.803   3.489
AC18 2018.0835         8.441       -11.750        -1.730   1.211   0.824   3.602
AC18 2018.9788         5.148        -0.004        -0.287   1.257   0.858   3.745
AC19 2011.2580        -2.020         2.163        -0.948   1.040   0.740   3.186
AC19 2019.5565         2.751        -1.469         2.165   1.251   0.885   3.908
AC20 2006.1191         4.263        -1.169        -6.872   1.925   1.152   5.600
AC20 2006.9706         4.752         0.578        -7.845   1.557   0.933   4.630
AC20 2010.6502        -5.858         3.186         3.613   1.477   0.878   4.454
AC20 2011.9617        -6.403         0.757        -6.077   1.879   1.112   5.559
AC20 2012.5257        -3.880        -2.301         4.346   1.849   1.090   5.480
AC20 2016.5339         2.211         1.001         5.447   1.534   0.900   4.738
AC20 2018.9322        -2.184         6.221         2.687   1.460   0.878   4.574
AC21 2015.9206         2.351         1.041        -2.727   0.919   0.648   2.577
AC21 2018.0945         1.694        -3.588         0.715   1.076   0.752   3.044
AC21 2018.9651         3.821        -1.751        -0.112   1.180   0.828   3.344
AC23 2008.6160        -2.821         0.794         4.748   1.337   0.942   3.924
AC23 2009.5140        -4.262        -2.293         8.044   1.323   0.927   3.898
AC23 2010.5818        -2.903        -1.434         1.280   1.521   1.067   4.446
AC23 2011.0965        -4.399        -0.891        -1.106   1.442   1.017   4.200
AC23 2012.7666         4.214        -1.516        -0.752   1.261   0.884   3.687
AC23 2013.8316         3.463        -2.379         5.272   1.353   0.946   3.954
AC23 2014.6612         2.920        -1.209         5.270   1.346   0.940   3.947
AC23 2016.7693        -6.785         1.825         7.582   1.395   0.967   4.146
AC23 2019.5537         3.593        -3.400         5.974   1.521   1.062   4.547
AC24 2009.5443        -2.312         1.074         2.104   0.911   0.643   2.611
AC24 2018.0616         7.213       -10.385         1.352   0.910   0.636   2.621
AC25 2005.9849       -26.917       -20.018        19.417   2.826   2.027   8.031
AC25 2006.1218        23.467        18.991       -17.038   2.445   1.762   6.976
AC25 2009.0568         6.634        -4.616        12.773   1.748   1.291   5.014
AC25 2009.3169        -7.578         3.374        -9.817   2.919   2.119   8.228
AC25 2009.5387        -5.913        -0.129         1.147   2.460   1.767   6.868
AC26 2009.3717        -6.550         3.792         0.902   1.286   0.912   3.704
AC26 2011.4415        -2.473         1.923        -3.179   1.259   0.895   3.580
AC26 2012.4435        -1.026         4.830         0.179   1.251   0.889   3.552
AC26 2014.4558        -3.910         3.224        -2.861   1.725   1.205   5.145
AC26 2017.4018        -4.375         3.597        -3.285   1.554   1.082   4.465
AC26 2018.0643        10.404       -16.413        -2.024   1.454   1.014   4.198
AC26 2019.0281         3.669        -2.137         2.923   1.310   0.920   3.796
AC27 2006.1383        -5.340         3.603        -1.840   1.115   0.794   3.266
AC27 2009.4319        -4.087        -0.148         2.851   1.008   0.718   2.936
AC27 2012.9993         8.299       -19.532        18.628   5.006   3.623  14.595
AC27 2013.0267       -10.848        15.601       -22.157   5.073   3.669  14.779
AC27 2013.7522         2.701        -0.445         6.696   1.202   0.855   3.442
AC27 2018.0616         8.376        -9.815        -0.206   1.227   0.866   3.618
AC27 2018.7378         3.447        -1.335         5.103   1.254   0.889   3.705
AC28 2017.9712         3.294        -0.948         0.068   0.940   0.658   2.655
AC32 2013.0322        28.298        -7.997        16.569   2.212   1.570   6.368
AC32 2013.1964       -24.789        10.625       -22.362   2.707   1.904   7.728
AC32 2013.4568         1.105        -1.334         9.996   1.847   1.279   5.240
AC32 2015.7454         5.196        -2.650        -2.290   0.973   0.672   2.847
AC32 2018.9514        -0.521        23.295       -19.395   1.117   0.770   3.298
AC32 2019.8193         9.972        -3.561        10.925   2.032   1.410   5.944
AC33 2007.9206      -100.897       -13.216       127.110   4.277   2.693  14.386
AC33 2008.0192       -34.352        -5.137        67.748   5.469   3.198  18.580
AC33 2008.1369      -154.700       -50.312       168.738   9.357   5.844  29.110
AC33 2008.1780      -175.668       -41.346       172.647  10.296   6.473  31.295
AC33 2008.3121        13.231        36.722       -12.156  11.339   6.809  32.874
AC33 2008.4682       307.280        37.178      -372.343  16.811  10.334  64.796
AC33 2008.6025       145.363        36.215      -156.450  13.722   8.548  58.516
AC33 2011.0363      -174.669       -11.801       258.020   2.712   1.525   8.447
AC33 2011.3977       174.050        18.245      -261.566   2.864   1.661   8.865
AC33 2011.9644       -38.041        -6.487        41.723   3.708   2.329  12.427
AC33 2012.0548      -232.993       -53.038       271.668   5.072   2.915  16.194
AC33 2012.2957        43.843         1.029       -38.826   7.058   4.548  24.757
AC33 2012.3970       124.040        31.733      -135.614  12.974   7.452  46.542
AC33 2012.4216        99.391        29.866      -143.515  11.532   6.254  41.032
AC33 2014.1081       -47.059         0.423        86.133   2.615   1.623   8.654
AC33 2014.3545        52.690         3.326       -89.214   2.551   1.578   8.464
AC34 2007.9808         3.574        -1.347        -2.956   1.016   0.724   2.888
AC34 2009.4565        -5.592         0.835         2.875   1.024   0.730   2.914
AC34 2016.0849         5.201         2.611        -2.099   1.003   0.705   2.855
AC34 2017.7769        -3.331         2.326         4.367   1.664   1.170   4.715
AC34 2018.0643        18.425       -34.077        -4.920   1.719   1.212   4.863
AC34 2019.0664         4.346        -4.147         1.527   1.127   0.801   3.203
AC35 2008.0767         2.449         0.657       -10.289   1.377   0.970   3.913
AC35 2010.3107        -2.932         5.605         4.928   1.830   1.274   5.170
AC35 2010.6229        -4.143         5.834         7.027   1.992   1.396   5.607
AC35 2011.4086        -6.546         3.565         3.154   1.625   1.157   4.588
AC35 2012.0602         1.259         1.296        -5.133   1.401   0.997   3.974
AC35 2013.0240         4.935        -0.741        -4.002   1.266   0.895   3.587
AC35 2015.3020         4.393        -0.894        -7.632   1.444   1.007   4.103
AC35 2016.0657        -0.075         9.365         0.772   1.613   1.109   4.578
AC35 2016.5448        -3.838         4.925         6.717   2.163   1.498   6.260
AC35 2016.8297       -11.846         5.699        15.687   2.074   1.444   6.036
AC36 2009.2651        -6.999        -0.492         2.927   1.394   0.990   4.224
AC36 2012.7529         5.370        -0.632        -1.182   1.316   0.938   3.911
AC36 2013.6372         3.945        -2.447         4.437   1.336   0.950   3.958
AC36 2014.5845         2.758        -2.553         4.783   1.240   0.881   3.694
AC36 2016.8706        -1.941         0.092        -6.380   1.158   0.815   3.486
